date,Ningbo(10kTEU),Shanghai(10kTEU),Singapore(10kTEU),Shenzhen(10kTEU),Hong Kong(10kTEU),Busan(10kTEU),Guangzhou(10kTEU),Qingdao(10kTEU),Dubai(10kTEU),Tianjin(10kTEU),Rotterdam(10kTEU),Kelang(10kTEU),Kaohsiung(10kTEU),Dalian(10kTEU),Hanburg(10kTEU),Antwerp(10kTEU),Xiamen(10kTEU),Tanjung(10kTEU),Los Angeles(10kTEU),Long Beach(10kTEU)
2004,400.5,1455.4,2132.9,1365.5,2198.4,1149.2,330,514,642.9,381.6,829.2,524.4,971.4,220,700.3,606.3,287.2,402,732.1,578
2005,520.8,1808.4,2319.2,1619.7,2242.7,1184.3,468.5,630.7,861.9,480.1,930,554.4,947.1,265.1,808.8,648.2,334.2,417.7,748.5,671
2006,706.8,2171,2479.2,1846.9,2353.9,1203,660,770.2,892.3,595,965.5,632.6,977.5,321.2,886.2,701.9,401.9,477,847,729
2007,935,2615,2793.6,2109.9,2399.8,1327,1025.7,946.2,1079.1,817.6,990,731.2,920,464.2,936,835.5,462.7,550,710.3,731.2
2008,1084.6,2798,2991.8,2141.4,2449.4,1345.2,1100.1,1032,1182.7,850,1080,797,967.7,450.3,973.7,866.4,503.4,560,785,648.8
2009,1042,2500.2,2586.7,1825,2104,1198,1119,1026,1110,870,974.3,730.9,858.1,455.2,700.7,730.9,468,601.6,726.1,506.7
2010,1300.4,2906.9,2843.1,2250.9,2369.9,1419.4,1255,1201.2,1160,1008,1114.5,887,918.1,524.2,790,846.8,582,653,783.1,626.3
2011,1451.2,3173.9,2993.8,2257,2438.4,1618.4,1426,1302,1300,1158,1187.6,960.3,963.6,640,901.4,866.4,645,752,794,610
2012,1567.1,3252.9,3164.9,2294,2311.7,1704.6,1474.3,1450.3,1327,1230,1186.5,1000,978.1,806,886.3,863.3,720.1,770,807.8,604.5
2013,1677.4,3361.7,3257.9,2327.8,2236.7,1768.6,1530.9,1552,1364.1,1301,1162.1,1035,993.8,991.2,930.2,857.8,800.8,762.8,786.9,673
2014,1870,3528.5,3386.9,2403.7,2222.6,1867.8,1660,1658,1524.9,1406.1,1229.8,1094.6,1059.3,1001.1,973,897.8,857.2,855,834,682.1
2015,2063,3654,3092,2420,2007,1945,1722,1747,1560,1411,1223,1189,1026,945,882,965,918,910,816,719
2016,2160,3713,3090,2397,1981,1985,1885,1801,1573,1449,1238,1320,1046,961,891,1004,961,828,886,680
2017,2461,4023,3367,2521,2076,2049,2037,1830,1537,1507,1373,1373,1027,970,886,1045,1038,838,943,754
2018,2635,4201,3660,2774,1960,2166,2187,1826,1495,1600,1451,1232,1045,977,873,1110,1000,896,946,809
2019,2749,4330,3720,2577,1830,2199,2323,2101,1411,1730,1482,1358,1042,1021,930,1110,1112,910,930,763
2020,2872,4350,3660,2655,2007,2159,2319,2200,1350,1835,1435,1324,962,654,870,1204,1141,985,920,811
